Year,State,Broad_category,Fuel_category,Registered_vehicle
2013,Karnataka,2 Wheeler,CNG,0
2013,Karnataka,2 Wheeler,Diesel & Others,505
2013,Karnataka,2 Wheeler,Electric Vehicle,222
2013,Karnataka,2 Wheeler,Others,74
2013,Karnataka,2 Wheeler,Petrol & Others,1077166
2014,Karnataka,2 Wheeler,CNG,0
2014,Karnataka,2 Wheeler,Diesel & Others,387
2014,Karnataka,2 Wheeler,Electric Vehicle,194
2014,Karnataka,2 Wheeler,Others,120
2014,Karnataka,2 Wheeler,Petrol & Others,1195476
2015,Karnataka,2 Wheeler,CNG,0
2015,Karnataka,2 Wheeler,Diesel & Others,279
2015,Karnataka,2 Wheeler,Electric Vehicle,88
2015,Karnataka,2 Wheeler,Others,181
2015,Karnataka,2 Wheeler,Petrol & Others,1222985
2016,Karnataka,2 Wheeler,CNG,0
2016,Karnataka,2 Wheeler,Diesel & Others,278
2016,Karnataka,2 Wheeler,Electric Vehicle,59
2016,Karnataka,2 Wheeler,Others,142
2016,Karnataka,2 Wheeler,Petrol & Others,1239377
2017,Karnataka,2 Wheeler,CNG,0
2017,Karnataka,2 Wheeler,Diesel & Others,283
2017,Karnataka,2 Wheeler,Electric Vehicle,100
2017,Karnataka,2 Wheeler,Others,172
2017,Karnataka,2 Wheeler,Petrol & Others,1213578
2018,Karnataka,2 Wheeler,CNG,0
2018,Karnataka,2 Wheeler,Diesel & Others,100
2018,Karnataka,2 Wheeler,Electric Vehicle,3022
2018,Karnataka,2 Wheeler,Others,74
2018,Karnataka,2 Wheeler,Petrol & Others,1285410
2019,Karnataka,2 Wheeler,CNG,0
2019,Karnataka,2 Wheeler,Diesel & Others,4
2019,Karnataka,2 Wheeler,Electric Vehicle,6392
2019,Karnataka,2 Wheeler,Others,3
2019,Karnataka,2 Wheeler,Petrol & Others,1189288
2020,Karnataka,2 Wheeler,CNG,0
2020,Karnataka,2 Wheeler,Diesel & Others,1
2020,Karnataka,2 Wheeler,Electric Vehicle,11781
2020,Karnataka,2 Wheeler,Others,15
2020,Karnataka,2 Wheeler,Petrol & Others,846143
2021,Karnataka,2 Wheeler,CNG,0
2021,Karnataka,2 Wheeler,Diesel & Others,0
2021,Karnataka,2 Wheeler,Electric Vehicle,41288
2021,Karnataka,2 Wheeler,Others,0
2021,Karnataka,2 Wheeler,Petrol & Others,766865
2022,Karnataka,2 Wheeler,CNG,0
2022,Karnataka,2 Wheeler,Diesel & Others,0
2022,Karnataka,2 Wheeler,Electric Vehicle,102984
2022,Karnataka,2 Wheeler,Others,0
2022,Karnataka,2 Wheeler,Petrol & Others,1022883
2023,Karnataka,2 Wheeler,CNG,0
2023,Karnataka,2 Wheeler,Diesel & Others,0
2023,Karnataka,2 Wheeler,Electric Vehicle,113870
2023,Karnataka,2 Wheeler,Others,0
2023,Karnataka,2 Wheeler,Petrol & Others,941342
2013,Karnataka,3 Wheeler,CNG,10
2013,Karnataka,3 Wheeler,Diesel & Others,18431
2013,Karnataka,3 Wheeler,Electric Vehicle,15
2013,Karnataka,3 Wheeler,Others,670
2013,Karnataka,3 Wheeler,Petrol & Others,18233
2014,Karnataka,3 Wheeler,CNG,11
2014,Karnataka,3 Wheeler,Diesel & Others,19557
2014,Karnataka,3 Wheeler,Electric Vehicle,6
2014,Karnataka,3 Wheeler,Others,825
2014,Karnataka,3 Wheeler,Petrol & Others,18943
2015,Karnataka,3 Wheeler,CNG,8
2015,Karnataka,3 Wheeler,Diesel & Others,18377
2015,Karnataka,3 Wheeler,Electric Vehicle,65
2015,Karnataka,3 Wheeler,Others,1365
2015,Karnataka,3 Wheeler,Petrol & Others,21474
2016,Karnataka,3 Wheeler,CNG,7
2016,Karnataka,3 Wheeler,Diesel & Others,17398
2016,Karnataka,3 Wheeler,Electric Vehicle,83
2016,Karnataka,3 Wheeler,Others,1512
2016,Karnataka,3 Wheeler,Petrol & Others,20786
2017,Karnataka,3 Wheeler,CNG,13
2017,Karnataka,3 Wheeler,Diesel & Others,14032
2017,Karnataka,3 Wheeler,Electric Vehicle,180
2017,Karnataka,3 Wheeler,Others,1191
2017,Karnataka,3 Wheeler,Petrol & Others,23648
2018,Karnataka,3 Wheeler,CNG,14
2018,Karnataka,3 Wheeler,Diesel & Others,17084
2018,Karnataka,3 Wheeler,Electric Vehicle,225
2018,Karnataka,3 Wheeler,Others,85
2018,Karnataka,3 Wheeler,Petrol & Others,36632
2019,Karnataka,3 Wheeler,CNG,133
2019,Karnataka,3 Wheeler,Diesel & Others,17235
2019,Karnataka,3 Wheeler,Electric Vehicle,223
2019,Karnataka,3 Wheeler,Others,581
2019,Karnataka,3 Wheeler,Petrol & Others,33379
2020,Karnataka,3 Wheeler,CNG,302
2020,Karnataka,3 Wheeler,Diesel & Others,6868
2020,Karnataka,3 Wheeler,Electric Vehicle,429
2020,Karnataka,3 Wheeler,Others,3345
2020,Karnataka,3 Wheeler,Petrol & Others,3298
2021,Karnataka,3 Wheeler,CNG,3456
2021,Karnataka,3 Wheeler,Diesel & Others,5844
2021,Karnataka,3 Wheeler,Electric Vehicle,2939
2021,Karnataka,3 Wheeler,Others,4623
2021,Karnataka,3 Wheeler,Petrol & Others,2121
2022,Karnataka,3 Wheeler,CNG,20306
2022,Karnataka,3 Wheeler,Diesel & Others,7336
2022,Karnataka,3 Wheeler,Electric Vehicle,4728
2022,Karnataka,3 Wheeler,Others,3270
2022,Karnataka,3 Wheeler,Petrol & Others,2884
