date,registrations
2013-01-01,249
2013-02-01,236
2013-03-01,218
2013-04-01,210
2013-05-01,226
2013-06-01,215
2013-07-01,199
2013-08-01,168
2013-09-01,221
2013-10-01,247
2013-11-01,272
2013-12-01,250
2014-01-01,233
2014-02-01,174
2014-03-01,219
2014-04-01,251
2014-05-01,187
2014-06-01,145
2014-07-01,196
2014-08-01,180
2014-09-01,168
2014-10-01,187
2014-11-01,210
2014-12-01,236
2015-01-01,180
2015-02-01,183
2015-03-01,222
2015-04-01,170
2015-05-01,194
2015-06-01,288
2015-07-01,379
2015-08-01,709
2015-09-01,968
2015-10-01,1072
2015-11-01,1248
2015-12-01,2182
2016-01-01,1946
2016-02-01,2498
2016-03-01,4519
2016-04-01,3450
2016-05-01,4002
2016-06-01,5117
2016-07-01,4374
2016-08-01,4018
2016-09-01,4172
2016-10-01,6335
2016-11-01,4899
2016-12-01,4508
2017-01-01,4577
2017-02-01,4407
2017-03-01,5990
2017-04-01,5052
2017-05-01,7053
2017-06-01,7510
2017-07-01,9045
2017-08-01,9167
2017-09-01,7736
2017-10-01,7660
2017-11-01,10084
2017-12-01,9115
2018-01-01,9002
2018-02-01,7372
2018-03-01,7695
2018-04-01,7332
2018-05-01,8264
2018-06-01,8825
2018-07-01,11397
2018-08-01,11791
2018-09-01,13588
2018-10-01,14989
2018-11-01,14112
2018-12-01,15878
2019-01-01,13375
2019-02-01,12231
2019-03-01,15158
2019-04-01,11212
2019-05-01,10096
2019-06-01,11161
2019-07-01,12482
2019-08-01,13261
2019-09-01,16144
2019-10-01,15720
2019-11-01,19008
2019-12-01,17034
2020-01-01,16855
2020-02-01,16572
2020-03-01,14066
2020-04-01,975
2020-05-01,1310
2020-06-01,6490
2020-07-01,7799
2020-08-01,8557
2020-09-01,11349
2020-10-01,11460
2020-11-01,13385
2020-12-01,15854
2021-01-01,17031
2021-02-01,20066
2021-03-01,28108
2021-04-01,15024
2021-05-01,3605
2021-06-01,12332
2021-07-01,28167
2021-08-01,30833
2021-09-01,36600
2021-10-01,40959
2021-11-01,45092
2021-12-01,53757
2022-01-01,51489
2022-02-01,58097
2022-03-01,83102
2022-04-01,77612
2022-05-01,69919
2022-06-01,75885
2022-07-01,80877
2022-08-01,89012
2022-09-01,94914
2022-10-01,117500
2022-11-01,121593
2022-12-01,105006
2023-01-01,102885
2023-02-01,107216
2023-03-01,140923
2023-04-01,111361
2023-05-01,158467
2023-06-01,102645
2023-07-01,116623
2023-08-01,127212
2023-09-01,128556
2023-10-01,140385
2023-11-01,154156
2023-12-01,141959
2024-01-01,145064
2024-02-01,141740
2024-03-01,209839
2024-04-01,113385
2024-05-01,123942
2024-06-01,109460
2024-07-01,128669
2024-08-01,107136
2024-09-01,97456
2024-10-01,110509
2024-11-01,96293
2024-12-01,36871
